benchmark,model,signal,coverage,accepted_tasks,selective_failure_rate,selective_accuracy
ExecRepoBench-120,gemini-2.5-flash,generation,0.3,36,0.5277777777777778,0.4722222222222222
ExecRepoBench-120,gemini-2.5-flash,generation,0.5,60,0.5666666666666667,0.43333333333333335
ExecRepoBench-120,gemini-2.5-flash,generation,0.7,84,0.6071428571428571,0.3928571428571429
ExecRepoBench-120,gemini-2.5-flash,generation,0.9,108,0.6111111111111112,0.38888888888888884
ExecRepoBench-120,gemini-2.5-flash,generation,1.0,120,0.6333333333333333,0.3666666666666667
ExecRepoBench-120,gemini-2.5-flash,aggregate,0.1,12,0.5833333333333334,0.41666666666666663
ExecRepoBench-120,gemini-2.5-flash,aggregate,0.2,24,0.5833333333333334,0.41666666666666663
ExecRepoBench-120,gemini-2.5-flash,aggregate,0.3,36,0.5555555555555556,0.4444444444444444
ExecRepoBench-120,gemini-2.5-flash,aggregate,0.5,60,0.6333333333333333,0.3666666666666667
ExecRepoBench-120,gemini-2.5-flash,aggregate,0.7,84,0.5476190476190477,0.45238095238095233
ExecRepoBench-120,gemini-2.5-flash,aggregate,0.9,108,0.6111111111111112,0.38888888888888884
ExecRepoBench-120,gemini-2.5-flash,aggregate,1.0,120,0.6333333333333333,0.3666666666666667
ExecRepoBench-120,claude-sonnet-5,api,0.1,12,0.08333333333333333,0.9166666666666666
ExecRepoBench-120,claude-sonnet-5,api,0.2,24,0.20833333333333334,0.7916666666666666
ExecRepoBench-120,claude-sonnet-5,api,0.3,36,0.2222222222222222,0.7777777777777778
ExecRepoBench-120,claude-sonnet-5,api,0.5,60,0.23333333333333334,0.7666666666666666
ExecRepoBench-120,claude-sonnet-5,api,0.7,84,0.2619047619047619,0.7380952380952381
ExecRepoBench-120,claude-sonnet-5,api,0.9,108,0.25,0.75
ExecRepoBench-120,claude-sonnet-5,api,1.0,120,0.25833333333333336,0.7416666666666667
ExecRepoBench-120,claude-sonnet-5,context,0.1,12,0.25,0.75
ExecRepoBench-120,claude-sonnet-5,context,0.2,24,0.2916666666666667,0.7083333333333333
ExecRepoBench-120,claude-sonnet-5,context,0.3,36,0.25,0.75
ExecRepoBench-120,claude-sonnet-5,context,0.5,60,0.2,0.8
ExecRepoBench-120,claude-sonnet-5,context,0.7,84,0.23809523809523808,0.7619047619047619
ExecRepoBench-120,claude-sonnet-5,context,0.9,108,0.23148148148148148,0.7685185185185185
ExecRepoBench-120,claude-sonnet-5,context,1.0,120,0.25833333333333336,0.7416666666666667
ExecRepoBench-120,claude-sonnet-5,similar_code,0.1,12,0.08333333333333333,0.9166666666666666
ExecRepoBench-120,claude-sonnet-5,similar_code,0.2,24,0.20833333333333334,0.7916666666666666
ExecRepoBench-120,claude-sonnet-5,similar_code,0.3,36,0.2222222222222222,0.7777777777777778
ExecRepoBench-120,claude-sonnet-5,similar_code,0.5,60,0.23333333333333334,0.7666666666666666
ExecRepoBench-120,claude-sonnet-5,similar_code,0.7,84,0.21428571428571427,0.7857142857142857
ExecRepoBench-120,claude-sonnet-5,similar_code,0.9,108,0.25925925925925924,0.7407407407407407
ExecRepoBench-120,claude-sonnet-5,similar_code,1.0,120,0.25833333333333336,0.7416666666666667
ExecRepoBench-120,claude-sonnet-5,generation,0.1,12,0.0,1.0
ExecRepoBench-120,claude-sonnet-5,generation,0.2,24,0.08333333333333333,0.9166666666666666
ExecRepoBench-120,claude-sonnet-5,generation,0.3,36,0.05555555555555555,0.9444444444444444
ExecRepoBench-120,claude-sonnet-5,generation,0.5,60,0.08333333333333333,0.9166666666666666
ExecRepoBench-120,claude-sonnet-5,generation,0.7,84,0.16666666666666666,0.8333333333333334
ExecRepoBench-120,claude-sonnet-5,generation,0.9,108,0.24074074074074073,0.7592592592592593
ExecRepoBench-120,claude-sonnet-5,generation,1.0,120,0.25833333333333336,0.7416666666666667
ExecRepoBench-120,claude-sonnet-5,aggregate,0.1,12,0.08333333333333333,0.9166666666666666
ExecRepoBench-120,claude-sonnet-5,aggregate,0.2,24,0.125,0.875
ExecRepoBench-120,claude-sonnet-5,aggregate,0.3,36,0.08333333333333333,0.9166666666666666
ExecRepoBench-120,claude-sonnet-5,aggregate,0.5,60,0.11666666666666667,0.8833333333333333
ExecRepoBench-120,claude-sonnet-5,aggregate,0.7,84,0.19047619047619047,0.8095238095238095
