benchmark,backend,method,n,spearman_uncertainty_api_f1,auroc_incomplete_retrieval,auprc_incomplete_retrieval,ece_incomplete_retrieval,brier_incomplete_retrieval,mean_uncertainty_over,mean_uncertainty_exact,mean_uncertainty_under
CoderEval,GPT,OpenCoder,13,-0.11789465182789782,0.2857142857142857,0.38621332371332373,0.3461742023321299,0.3076554998478512,0.6881741755658931,0.5924835479259491,
CoderEval,Gemini,OpenCoder,13,0.15343507324259967,0.42857142857142855,0.5609057609057609,0.2400227544857906,0.2801094403034473,0.6686636445739054,0.6730032467842102,
RepoExec,GPT,OpenCoder,13,,,,0.5732845990474408,0.3472928458149243,,0.5732845990474408,
RepoExec,Gemini,OpenCoder,13,0.42550479175735667,0.041666666666666664,0.08333333333333333,0.49786762971144466,0.3687683660183162,,0.589356598854065,0.4
