condition,condition_label,planned,evaluable,completion_rate,correct_numerator,correctness_evaluable,correctness_ci95_low,correctness_ci95_high,end_to_end_success,end_to_end_ci95_low,end_to_end_ci95_high,detection_numerator,detection_denominator,failure_detection_accuracy,repair_numerator,repair_denominator,repair_success,unnecessary_edit_numerator,unnecessary_edit_denominator,unnecessary_edit,brier_score,ece_10_bin,mean_total_tokens,mean_latency_seconds
generic_review,Generic review,48,44,0.9166666666666666,17,0.38636363636363635,0.29545454545454547,0.46511627906976744,0.3541666666666667,0.2708333333333333,0.4375,24,44,0.5454545454545454,3,28,0.10714285714285714,16,16,1.0,0.43134545454545453,0.4422727272727273,4114.404255319149,28.032757976543508
uncertainty_display,Uncertainty display,48,45,0.9375,21,0.4666666666666667,0.37777777777777777,0.5609756097560976,0.4375,0.375,0.5,32,45,0.7111111111111111,8,29,0.27586206896551724,16,16,1.0,0.35583777777777775,0.33799999999999997,4340.75,27.944806293295795
targeted_guidance,Targeted guidance,48,45,0.9375,16,0.35555555555555557,0.2553191489361702,0.46511627906976744,0.3333333333333333,0.25,0.4166666666666667,30,44,0.6818181818181818,6,29,0.20689655172413793,16,16,1.0,0.4196186046511628,0.4474418604651162,4292.978260869565,41.83780995659132
