model,intervention,scope,status,matched_tasks,before_correctness,after_correctness,absolute_difference,bootstrap_ci95_low,bootstrap_ci95_high,wins,losses,ties,mcnemar_exact_p,simulation,before_uncertainty,after_uncertainty,uncertainty_difference,mean_token_difference,mean_latency_difference_seconds,mcnemar_holm_p,uncertainty_note
gpt-4o-mini,Repository evidence provision,Direct -> Standard RAG,OBSERVED,120,0.16666666666666666,0.25833333333333336,0.0916666666666667,0.025,0.15833333333333333,14,3,103,0.012725830078125,False,0.6701668078700702,0.6827621687750022,0.012595360904931963,1843.6666666666667,12.288492080209107,0.0509033203125,
gpt-4o-mini,Ordinary verification and repair,Standard RAG -> RAG + Verify/Repair,OBSERVED,120,0.25833333333333336,0.325,0.06666666666666665,0.016666666666666666,0.11666666666666667,9,1,110,0.021484375,False,0.6827621687750022,0.6827459973394872,-1.6171435515022203e-05,5431.408333333334,33.749418944133865,0.021484375,
gpt-4o-mini,Uncertainty-aware evidence and generation,RAG + Verify/Repair -> OpenCoderX,OBSERVED,120,0.325,0.30833333333333335,-0.016666666666666663,-0.05,0.016666666666666666,1,3,116,0.625,False,0.6827459973394872,0.6825375742117564,-0.00020842312773072802,3762.9083333333333,-7.979117587565815,1.0,
gemini-2.5-flash,Repository evidence provision,Direct -> Standard RAG,OBSERVED,120,0.225,0.25833333333333336,0.033333333333333354,-0.03333333333333333,0.1,11,7,102,0.480682373046875,False,0.685232388863961,0.6943622694512209,0.009129880587259942,10857.408333333333,1.197882507550033,0.480682373046875,
gemini-2.5-flash,Ordinary verification and repair,Standard RAG -> RAG + Verify/Repair,OBSERVED,120,0.25833333333333336,0.35,0.09166666666666662,0.03333333333333333,0.15,12,1,107,0.00341796875,False,0.6943622694512209,0.6863252929647764,-0.008036976486444525,5214.416666666667,12.969084222309418,0.01025390625,
gemini-2.5-flash,Uncertainty-aware evidence and generation,RAG + Verify/Repair -> OpenCoderX,OBSERVED,120,0.35,0.36666666666666664,0.016666666666666663,-0.041666666666666664,0.075,8,6,106,0.79052734375,False,0.6863252929647764,0.6931798174281916,0.006854524463415168,3866.358333333333,21.01856784760803,1.0,
claude-sonnet-5,Repository evidence provision,Direct -> Standard RAG,OBSERVED,120,0.5166666666666667,0.5833333333333334,0.06666666666666665,0.016666666666666666,0.125,10,2,108,0.03857421875,False,0.6477592290987572,0.6268067231277625,-0.020952505970994628,10781.25,5.116746715634266,0.11572265625,
claude-sonnet-5,Ordinary verification and repair,Standard RAG -> RAG + Verify/Repair,OBSERVED,120,0.5833333333333334,0.7333333333333333,0.1499999999999999,0.09166666666666666,0.21666666666666667,18,0,102,7.62939453125e-06,False,0.6268067231277625,0.6328388862162829,0.0060321630885203925,3848.0333333333333,18.43049387158268,3.0517578125e-05,
claude-sonnet-5,Uncertainty-aware evidence and generation,RAG + Verify/Repair -> OpenCoderX,OBSERVED,120,0.7333333333333333,0.7416666666666667,0.008333333333333415,-0.041666666666666664,0.058333333333333334,5,4,111,1.0,False,0.6328388862162829,0.6235576435495168,-0.00928124266676611,12430.575,339.1094067697771,1.0,
qwen3-coder-plus,Repository evidence provision,Direct -> Standard RAG,OBSERVED,120,0.48333333333333334,0.5333333333333333,0.04999999999999999,-0.008333333333333333,0.10833333333333334,10,4,106,0.1795654296875,False,0.6322505006392798,0.6211418393055599,-0.011108661333719905,8993.758333333333,-21.42016032803137,0.359130859375,
qwen3-coder-plus,Ordinary verification and repair,Standard RAG -> RAG + Verify/Repair,OBSERVED,120,0.5333333333333333,0.6083333333333333,0.07499999999999996,0.03333333333333333,0.125,9,0,111,0.00390625,False,0.6211418393055599,0.6161604373057684,-0.004981401999791468,5992.241666666667,11.226003157889014,0.01025390625,
qwen3-coder-plus,Uncertainty-aware evidence and generation,RAG + Verify/Repair -> OpenCoderX,OBSERVED,120,0.6083333333333333,0.6,-0.008333333333333304,-0.041666666666666664,0.025,2,3,115,1.0,False,0.6161604373057684,0.6183145693937938,0.0021541320880253956,2931.9083333333333,35.09490993025077,1.0,
