benchmark,model,signal,tasks,failure_rate,mean_risk,auroc_failure,auroc_ci95_low,auroc_ci95_high,auprc_failure,brier_failure,ece_failure_10_bins,aurc,spearman_rho,spearman_p
ExecRepoBench-120,gpt-4o-mini,api,120,0.6916666666666667,0.2795296223982174,0.5669163139042657,0.4622218739115291,0.670967784043442,0.7505386479168097,0.38246234666511125,0.4157821052346467,0.6887401843720046,0.10705239186651513,0.24451585984402027
ExecRepoBench-120,gpt-4o-mini,context,120,0.6916666666666667,0.2904832959239263,0.5488440247476392,0.44284937888198755,0.6496239486750772,0.7773865182285106,0.40152894943798284,0.4011833707427404,0.6974248063958934,0.0785017698778519,0.39407031330970976
ExecRepoBench-120,gpt-4o-mini,similar_code,120,0.6916666666666667,0.27902424808384196,0.5395636600455878,0.42646970869687584,0.6502366223610387,0.7271683099368331,0.38278262536643043,0.4126424185828246,0.6703598181122014,0.06329374993567682,0.4922212949233448
ExecRepoBench-120,gpt-4o-mini,generation,120,0.6916666666666667,0.6825375742117566,0.6146206447411267,0.5004996197452023,0.7201564589763375,0.7855215390642698,0.20542600791604584,0.06533594799041753,0.601887287676562,0.18337941746817618,0.04498127377434925
ExecRepoBench-120,gpt-4o-mini,aggregate,120,0.6916666666666667,0.3828936851544355,0.6320416802344513,0.532961772901428,0.7282622893098905,0.828406732576508,0.30066777651388615,0.30877298151223115,0.6436792946155435,0.21123963455898728,0.020558669088512865
ExecRepoBench-120,gemini-2.5-flash,api,120,0.6333333333333333,0.29406051105348835,0.47667464114832536,0.3726967732418314,0.5811758711383262,0.6404041754572511,0.35676080767558555,0.35034841547088635,0.6821542440565156,-0.03893943947827213,0.6728384439863646
ExecRepoBench-120,gemini-2.5-flash,context,120,0.6333333333333333,0.2734727332049584,0.5287081339712919,0.42293485167675343,0.629949725798535,0.7072838392561158,0.3806512665070761,0.359860600128375,0.6338371492758621,0.048146325993695664,0.6015316828279841
ExecRepoBench-120,gemini-2.5-flash,similar_code,120,0.6333333333333333,0.29650134661566047,0.5113636363636362,0.4026649350649351,0.6232658050967376,0.6448206253980168,0.34839833801933334,0.33867627717796384,0.6249678133077382,0.018970496156081297,0.8370606253080846
ExecRepoBench-120,gemini-2.5-flash,generation,120,0.6333333333333333,0.6931798174281919,0.618421052631579,0.508570211038961,0.7248702273180239,0.7141671020894882,0.22058059476014155,0.0844188510477543,0.5070434982893136,0.19769116591995625,0.03043835629224881
ExecRepoBench-120,gemini-2.5-flash,aggregate,120,0.6333333333333333,0.3893036020755744,0.6016746411483253,0.4973073214086524,0.7005260177303401,0.7625315119398374,0.2841611341953662,0.24402973125775868,0.5793451566055293,0.16973454472696334,0.06383089803076683
ExecRepoBench-120,claude-sonnet-5,api,120,0.25833333333333336,0.31196684869087316,0.5469372961217833,0.4269117063492063,0.6629992910455359,0.35854793209740504,0.19236818667105393,0.07722295271795376,0.20981829860177795,0.07117350857117762,0.439826413734164
ExecRepoBench-120,claude-sonnet-5,context,120,0.25833333333333336,0.3042994537049835,0.5541862993838347,0.43220724852884557,0.6776213761014036,0.35675509436053915,0.21578315459452005,0.16263278703831696,0.24907170186097796,0.08254420532066598,0.370096415726523
ExecRepoBench-120,claude-sonnet-5,similar_code,120,0.25833333333333336,0.3143762242518047,0.5632475534613991,0.44284383186031157,0.6825925925925925,0.31590804989323246,0.1924096347479068,0.06076745881264678,0.20770128768654314,0.09590561579668334,0.29741120458379855
ExecRepoBench-120,claude-sonnet-5,generation,120,0.25833333333333336,0.6235576435495166,0.7450163102573396,0.6458623158756137,0.8352332286586546,0.4918571035980974,0.29625599773266004,0.36522431021618346,0.1205068641287547,0.3719007380928562,2.8850127163012813e-05
ExecRepoBench-120,claude-sonnet-5,aggregate,120,0.25833333333333336,0.38855004254929454,0.6922798115259152,0.5831736924922335,0.7951853883664228,0.4885780828061682,0.19294411651496235,0.13453155762363597,0.15649005137918934,0.2915640640695732,0.001233603991026384
ExecRepoBench-120,qwen3-coder-plus,api,120,0.4,0.2872365291122072,0.595775462962963,0.4921400673400673,0.6965046888320545,0.5107793062661767,0.24421026186209843,0.13234126883979885,0.307504786218271,0.16254199431497454,0.07610672343528996
ExecRepoBench-120,qwen3-coder-plus,context,120,0.4,0.28507314918693566,0.48567708333333337,0.37651043996987243,0.5953420815885871,0.4389469468183155,0.2995985798539781,0.2104822587201602,0.4275608631047928,-0.024420043291891125,0.7912038563156512
ExecRepoBench-120,qwen3-coder-plus,similar_code,120,0.4,0.2781182193949473,0.48148148148148145,0.3751077172324657,0.5880425741355974,0.39843195481277366,0.25898441615138723,0.12188178060505264,0.4247972578129929,-0.0314280593237413,0.7332859107236331
ExecRepoBench-120,qwen3-coder-plus,generation,120,0.4,0.6183145693937939,0.7039930555555556,0.6022718531468532,0.800297949595624,0.61875734006153,0.26490278722197147,0.22466954584916435,0.30852174089417544,0.34637777380525986,0.00010647696559233931
ExecRepoBench-120,qwen3-coder-plus,aggregate,120,0.4,0.36718561677197104,0.5960648148148148,0.4855749260771614,0.7019684027777777,0.548914202976311,0.23347449796719938,0.03281438322802908,0.3689036026871216,0.16303305774190802,0.07521220187612752
