model,policy,policy_label,review_budget,reviewer_success,seeds,tasks,mean_reviewed_tasks,mean_actual_review_rate,simulation,mean_team_success_rate,sd_team_success_rate,min_team_success_rate,max_team_success_rate,mean_selective_accuracy,sd_selective_accuracy,min_selective_accuracy,max_selective_accuracy,mean_autonomous_coverage,sd_autonomous_coverage,min_autonomous_coverage,max_autonomous_coverage,mean_autonomous_failure_rate,sd_autonomous_failure_rate,min_autonomous_failure_rate,max_autonomous_failure_rate,mean_failure_capture_rate,sd_failure_capture_rate,min_failure_capture_rate,max_failure_capture_rate,mean_deferral_precision,sd_deferral_precision,min_deferral_precision,max_deferral_precision,mean_unnecessary_review_rate,sd_unnecessary_review_rate,min_unnecessary_review_rate,max_unnecessary_review_rate,mean_errors_prevented_per_review,sd_errors_prevented_per_review,min_errors_prevented_per_review,max_errors_prevented_per_review,mean_reviews_per_prevented_failure,sd_reviews_per_prevented_failure,min_reviews_per_prevented_failure,max_reviews_per_prevented_failure
gpt-4o-mini,source_specific_opencoderx_deferral,Source-specific OpenCoderX,0.2,0.75,5,120,24.0,0.2,True,0.41333333333333333,0.01943650631615099,0.38333333333333336,0.44166666666666665,0.34375,0.0,0.34375,0.34375,0.8,0.0,0.8,0.8,0.65625,0.0,0.65625,0.65625,0.24096385542168675,0.0,0.24096385542168675,0.24096385542168675,0.8333333333333334,0.0,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.525,0.097182531580755,0.375,0.6666666666666666,1.976190476190476,0.3932537680392872,1.5,2.6666666666666665
gpt-4o-mini,source_specific_opencoderx_deferral,Source-specific OpenCoderX,0.5,0.75,5,120,60.0,0.5,True,0.5866666666666667,0.023921166824012192,0.55,0.6166666666666667,0.38333333333333336,0.0,0.38333333333333336,0.38333333333333336,0.5,0.0,0.5,0.5,0.6166666666666667,0.0,0.6166666666666667,0.6166666666666667,0.5542168674698795,0.0,0.5542168674698795,0.5542168674698795,0.7666666666666667,0.0,0.7666666666666667,0.7666666666666667,0.23333333333333334,0.0,0.23333333333333334,0.23333333333333334,0.5566666666666666,0.04784233364802441,0.48333333333333334,0.6166666666666667,1.8100871247422972,0.15961572679417516,1.6216216216216217,2.0689655172413794
gpt-4o-mini,oracle_deferral,Oracle (upper bound),0.1,0.75,5,120,12.0,0.1,True,0.37833333333333335,0.013540064007726609,0.35833333333333334,0.4,0.3425925925925926,0.0,0.3425925925925926,0.3425925925925926,0.9,0.0,0.9,0.9,0.6574074074074074,0.0,0.6574074074074074,0.6574074074074074,0.14457831325301204,0.0,0.14457831325301204,0.14457831325301204,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.7,0.135400640077266,0.5,0.9166666666666666,1.4848484848484849,0.29798835803489754,1.0909090909090908,2.0
gpt-4o-mini,oracle_deferral,Oracle (upper bound),0.2,0.75,5,120,24.0,0.2,True,0.455,0.01870828693386969,0.43333333333333335,0.475,0.3854166666666667,0.0,0.3854166666666667,0.3854166666666667,0.8,0.0,0.8,0.8,0.6145833333333334,0.0,0.6145833333333334,0.6145833333333334,0.2891566265060241,0.0,0.2891566265060241,0.2891566265060241,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.7333333333333334,0.09354143466934856,0.625,0.8333333333333334,1.3866666666666667,0.18086213288334055,1.2,1.6
gpt-4o-mini,oracle_deferral,Oracle (upper bound),0.5,0.75,5,120,60.0,0.5,True,0.685,0.03590109871423003,0.6416666666666667,0.7416666666666667,0.6166666666666667,0.0,0.6166666666666667,0.6166666666666667,0.5,0.0,0.5,0.5,0.38333333333333336,0.0,0.38333333333333336,0.38333333333333336,0.7228915662650602,0.0,0.7228915662650602,0.7228915662650602,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.7533333333333333,0.07180219742846009,0.6666666666666666,0.8666666666666667,1.3392107892107892,0.12389811605884483,1.1538461538461537,1.5
gemini-2.5-flash,random_deferral,Random,0.1,0.75,5,120,12.0,0.1,True,0.415,0.009718253158075492,0.4,0.425,0.362962962962963,0.014814814814814812,0.3425925925925926,0.3888888888888889,0.9,0.0,0.9,0.9,0.6370370370370371,0.014814814814814803,0.6111111111111112,0.6574074074074074,0.09473684210526315,0.021052631578947368,0.06578947368421052,0.13157894736842105,0.6000000000000001,0.13333333333333333,0.4166666666666667,0.8333333333333334,0.4,0.13333333333333336,0.16666666666666666,0.5833333333333334,0.48333333333333334,0.09718253158075503,0.3333333333333333,0.5833333333333334,2.1657142857142855,0.4870234457751433,1.7142857142857142,3.0
gemini-2.5-flash,random_deferral,Random,0.2,0.75,5,120,24.0,0.2,True,0.4583333333333333,0.021730674684008817,0.43333333333333335,0.49166666666666664,0.36666666666666664,0.025853486762480955,0.3333333333333333,0.40625,0.8,0.0,0.8,0.8,0.6333333333333333,0.02585348676248094,0.59375,0.6666666666666666,0.19999999999999998,0.03265703591050225,0.15789473684210525,0.25,0.6333333333333333,0.1034139470499238,0.5,0.7916666666666666,0.36666666666666664,0.10341394704992381,0.20833333333333334,0.5,0.4583333333333333,0.10865337342004414,0.3333333333333333,0.625,2.3025641025641024,0.515827083952674,1.6,3.0
gemini-2.5-flash,random_deferral,Random,0.5,0.75,5,120,60.0,0.5,True,0.5966666666666667,0.02768874620972692,0.5583333333333333,0.6416666666666667,0.36333333333333334,0.0498887651569859,0.26666666666666666,0.4,0.5,0.0,0.5,0.5,0.6366666666666666,0.04988876515698587,0.6,0.7333333333333333,0.49736842105263157,0.03938586722919939,0.42105263157894735,0.5263157894736842,0.63,0.04988876515698588,0.5333333333333333,0.6666666666666666,0.37,0.0498887651569859,0.3333333333333333,0.4666666666666667,0.46,0.05537749241945384,0.38333333333333336,0.55,2.205151503502328,0.2615133136570823,1.8181818181818181,2.608695652173913
gemini-2.5-flash,test_failure_deferral,Pre-repair test failure,0.1,0.75,5,120,12.0,0.1,True,0.4366666666666667,0.01247219128924647,0.4166666666666667,0.45,0.4074074074074074,0.0,0.4074074074074074,0.4074074074074074,0.9,0.0,0.9,0.9,0.5925925925925926,0.0,0.5925925925925926,0.5925925925925926,0.15789473684210525,0.0,0.15789473684210525,0.15789473684210525,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.7,0.12472191289246473,0.5,0.8333333333333334,1.48,0.2925747767665559,1.2,2.0
gemini-2.5-flash,test_failure_deferral,Pre-repair test failure,0.2,0.75,5,120,24.0,0.2,True,0.5083333333333333,0.01490711984999862,0.49166666666666664,0.525,0.4479166666666667,0.0,0.4479166666666667,0.4479166666666667,0.8,0.0,0.8,0.8,0.5520833333333334,0.0,0.5520833333333334,0.5520833333333334,0.3026315789473684,0.0,0.3026315789473684,0.3026315789473684,0.9583333333333334,0.0,0.9583333333333334,0.9583333333333334,0.041666666666666664,0.0,0.041666666666666664,0.041666666666666664,0.7083333333333334,0.07453559924999298,0.625,0.7916666666666666,1.4276160990712075,0.15084872370070024,1.263157894736842,1.6
